N,Much improved.
E,Faster and better
N,Feel ashamed.
N,ESPN - you should feel ashamed to put this out.
B,"It freezes all the time, crashes regularly, and is just plain slow."
N,I would really like the app if it actually worked corectly.
N,"if you enjoy staring at a blank white page, then this is the app for you."
P,Great.
P,Superb app for sports fans!
B,Overheating the phone.
E,Worst update.
P,Great!
N,It works well on my Nexus 9.
N,Never had a problem since installing it.
N,I use CBS now.
E,Scores are always way behind.
E,Ap is slow.
N,Also stays on and kills my batery
R,You should make it so you can watch the game
N,Yup.
N,Cant go wrong with ESPN!
N,Finally!
R,I have been waiting for years for espn to come out with a new and improved ap!
N,I was so  discouraged for years over espn's app to the point that i deleted this app for years!
N,Now it finally comes and totally redeems its self with this new and improved ap!
N,I'm loving it and giving this espn app a 5 star rating!
N,Keep up the good work Espn!
N,I'm seriously enjoying your ap!
E,New updates ruined app.
R,I can't read the news whenever I receive a notification.
B,And now I can't even open up the app without it crashing.
E,It is very good and keep update on sports and sport related news
B,Freezes and force close all the time.
P,It is not good at all
P,Loved it
R,They need to put in a nca wrestling portion.
R,They need to put in a nca wrestling portion
N,Ap doesn't run.
B,"After the update, this app crashes upon startup every time."
P,It is the best
N,Random Notifications.
N,"I only have 1 NBA team aded as a favorite, but I do not have alerts on for that team."
N,And yet I somehow still get notifications for other NBA teams that are not even aded as favorites much less having the alerts on them.
B,Please fix this.
E,It is very annoying.
P,Awful.
B,Won't load and keeps freezing.
B,It's keep slowing down my phone and heating it up
B,It is not working.
B,Won't open the app after creating an account with Facebook.
P,Amazing.
P,"Really like the ap, let's me check all the scores no mater where I am."
B,"Good ap, Gamecast score issue a major pain."
N,"I like the app but when watching a game in Gamecast, when you switch to another app and come back, it reverts to a score many minutes prior."
N,I have goten two updates since that score but it displays the old score then takes a long time to catch up to curent.
P,It is not great!
N,Wrestling?
R,Where is NCAA wrestling coverage?
R,Every other sport listed but ESPN fails to post scores or news of the sport
N,Yay full screen ads.
N,Finally the excuse to uninstall I always wanted
R,It needs a more lollipop based design
B,Crashes everytime with update.
B,Honestly hate the update because it doesn't open.
N,I have the fallacy note 4.
B,No excuse why this app does not work.
B,Please fix it.
P,Fixed great app again
B,Crashes.
B,As soon as I open the app it crashes
E,Great clips - Glitchy app.
B,Since the latest upgrade the app crashes every third time or so I open it.
N,(Android Galaxy S4)
P,It's a good ap
N,Ap.
N,This app used to work great.
N,Then they got rid of texts.
E,The alert system sucks.
N,I can never read the story they alerted me about.
B,The app always crashes.
B,I get error messages even when I'm not in the app telling me the app crashed.
N,ESPN ruined a perfectly fine system.
N,Well.
E,The app is a lot faster now but can I please have my batery back?
N,Update.
B,Ever since the update the app won't even open it force closes once I open it
P,I love this app can't do without it
N,Whalley.
N,American sports
N,New update.
B,Nothing works since the new update.
E,"It wasn't that great before, but now it's terible."
N,This crap!
E,So many alerts and the setings changes nothing.
N,I get even more alerts even though notices is turned off.
N,Just want to check scores.uninstall uninstall uninstall
N,Do you like notifications?
N,I'm uninstalling this app because I don't like geting bombarded with notifications at all hours.
N,"I especially didn't like that these notifications lit the red LED on my phone, making me think there was a problem or an emergency, when they only wanted to remind me I didn't fill out a bracket for the 10th time today."
E,The app inside is fine but unspectacular.
B,I don't get push notifications anymore.
N,"ironically, I used to get WAY TOO many"
R,Bring back text alert.
N,So you eliminated text alerts which allowed me to read the entire alert in a single glance and replaced it with crap alerts that half the time don't display all of the text in the notification.
N,"Aditionally, when I click on one it takes me to a complete different part of the app then the alert I just got."
N,What used to take 2 seconds to view an entire alert now takes 10-15 seconds while I wait for the app to load then have to navigate to the actual alert to read the text.
R,BRING BACK TEXT ALERTS!
N,Alerts.
E,I like the design of the app.
R,"Also, for f??tbol it would be nice to set up alerts for a team no mater what competition it's for, for both national and club teams, that way you don't have to go thru every competition to set an alert."
N,Random updates.
N,I have my favorite teams set up but I keto geting random updates for the Atlanta Falcons and they aren't one of my teams.
N,Other than that it's been prety good
N,update #4.
E,New update horible!
N,I keep geting notifications even after turning them all off!
N,I even turned off alerts within app setings and I still get vibrating alerts.
N,"I tried to send feedback within ap, and it won't work."
N,Uninstalling!
N,Right on.
N,"I can't see my favorite team but I can enjoy a fiction of it with this ap, I can enjoy highlights after the game and also fantastic information about my team."
N,Why do I need to register with Facebook to see scores of games?
N,Nca tournament
E,Slow to update.
E,Ap is sometimes slow to update but does have articles that I'd miss otherwise
E,Alerts Still Suck.
B,It need to fix alerts.
N,Ap won't bring you to an article when alert is received.
B,"Please fix, has been a problem for a long time with this app."
B,Closes when trying to read news.
B,"Every time I click a news story, it closes."
N,What's up with that?
N,Still stinks.
B,"Can't find stories when notified,  batery hog,  notifications for games lag badly,  freezes occasionally,  overall just stinks,  you guys need to take a course in aplication development from the score."
N,Horible.
E,"Super slow, doesn't update, shows me scores from 2 days ago everytime when I open the ap"
P,Finally great again.
N,"After a couple of months with this app being the victim of a terible update, it's great again."
E,"Swiping stories is back, twiter news is updated automatically, great job with the fix!"
B,It doesn't work.
E,This update is useless i can't even open the app on my phone
E,"Tyler porter ,,,,,,its decent but, I'm geting for the madness baby!"
N,?????????? SPLASH!
N,"Let'm """"RUN ?? ?? RUN"""""" coach, crean."
N,"GAS-N-SPLASH,,, Hoosiers"
B,Good but problems with force close.
N,"Used to work fine,  but virtually unusable now."
N,Hope it gets fixed.
N,Garbage!
N,"I have had this app for awhile and it has seemed to always work fine but when I try and use it on my tablet it loads a blank page, proceeds to exit out and say unfortunately espn has stoped working."
B,I hope something will be done to fix this or I will be deleting.
N,Nice aplication
P,Love it.
P,Excellent
N,Help.
E,It is not functional!
B,News articles crash every time.
E,Nice update guys.
N,You only managed to make ESPN news articles in the app impossible to read.
B,It now crashes every time you click on one.
B,Fail.
E,Basically useless since update.
E,Recent update has made this app worthless!
B,News articles don't open at all.
E,It is not to mention how much slower it is and how many resources it hogs up.
E,Worst update ever!
E,Faster.
E,This new update makes it go double speed as the other update
N,Was good till latest update.
N,Did an okay job of listing scores (although often did not do a good job of games in progress).
B,"But then after the latest update, I got ENDLESS warnings that this app was using too much CPU, was rapidly heating the CPU and quickly draining the batery."
N,"I had never had any problems with this app but sudenly Batery Doctor, Clean Master and CM Security all flaged this new resource hog."
B,"Even after force stoping it, the app restarted itself, trigering a new wave of warnings."
N,No thanks.uninstalled.
R,Can't save favorite leagues and competitions.
N,The old app use to allow you to save your favorite leagues and competitions in the menu.
N,"Now, it shows all of them, and say you want to look for the FA cup, you go to go through ""Soccer by competition"" and then find FA cup."
E,Ridiculous!
B,Will not load ANY articles.
N,Will change review once this is fixed.
B,Ap crashes literally every time I load an article
P,Love it lol.
P,I love this app you can see the scores of games its amazing
N,Meh.
B,Crashes and is full of fault design.
N,Look at The Score app or Yahoo Sports
N,"It's the perfect app for news about your favorite teams an all, but when it comes to following the games, I don't like the app taking to a 2nd screen to follow the game, make the"
B,It doesn't work.
R,Since the update i can't view articles.
N,I can see the headlines then i click to read and get kicked out.
E,Absolutely worthless.
N,BYI 999.
N,"It's cool, nothing to brag about"
N,I have my NASCAR my professional and college scores on all of the sports couldn't ask for anything better I'm on top of everything and I like it
B,Ap won't open
E,Causes lag and is much slower than before.
B,"The app runs all the time, even when closed."
B,It seems that force closing it makes my phone lag even more.
N,"Along with that, since the ""ESPN"" switch, it's a coin flip if the news section loads anything."
N,Great when working properly .
N,I guess they won't show this .
N,I update my aplication every time one is offered.
B,But crashes quite often.
N,I uninstal and refresh still find this crash report my findings .
E,This app is slowly geting worse.
N,Good choice.
P,Excellent job of keeping up.
B,Keep crashing.
N,Update makes my galaxy s5 crash and over heat and the app stays running
P,It's a great ap!
N,Ads.
R,"Espn doesn't need ads in their ap, please get rid of them then it's a five star."
P,Perfect.
N,I live it So when I can't watch the test of the game they can tell me who won and what was the score
N,Finally Tablet Suport.
N,Bizybone23myworldent 5
N,Espn.
R,It needs to allow to refresh the news feeds
N,5 stars to 3.
R,It is not able to play videos
N,ESPN THE FIRST.
P,It's the greatest and can't be beat .
N,Get and keep this app.
N,Ops.
N,Bang bang
B,Can't open stories since last update.
N,"Everytime I click on a news story the app stops working, basically disapears"
N,It is not Liking This At All.
E,This new version of the ESPN app is not good at all.
N,"Now you have to sign in to read articles related to your favorite teams, etc."
P,One of my favorite aps
N,Really ESPN?
N,Take a page from the Score app.
N,That app smashes this app hands down!
N,Since update.
N,Meh.
R,",, I can't shuffle my favorites anymore."
E,"I liked to when seasons changed, and particularly  by playoff chances during NFL season."
N,No more.
R,"Now, unless I want to remove everybody and ad them just so, I can't quickly reorder anymore."
N,Boo.
R,Will give you back stars when you switch this back.
N,OK Ap but.
E,"the app itself works OK but really don't like the white widget stuck on my home screen, please change it back or at least to a dark color"
N,Espn.
P,Great for good Sports
P,Best android app.
P,My favorite!
N,Finally!
N,About time you guys got caught up to Android 5.
N,XX.
N,"You even renamed the ap, again."
N,Thank you!
N,Bleacher Report was driving me nuts.
B,"A. Works well now, after some previous problems with crashes/blank screens."
E,FINALLY compatible with all my devices!
E,Best worldwide leader of sports ever
B,It doesn't load links.
B,Links just close app.worthless
B,"No longer works, just closes."
N,Crapy Aps by Crapy People wanting money with their Crapy Ads.
B,"The app constantly freezes, the articles are very slow to show, and the half-assed developers expect you to watch the long commercials just to see a video that has nothing to do with what they claimed."
R,All on board should be fired for sheer stupdity.
N,"Update: this is a mobile ap; why in the hell would you redirect to a desktop page that has to be scrolled sideways, and not have a mobile function?"
E,Pure idiocy.
N,I wish we could give 0 stars.
N,I'm gonna find a replacement and uninstall this worthless piece.
N,WHAT DID YOU DO TO THIS APP!
N,Where in the world did the favorite teams scores  and names go !
R,Should be like the ios update!
N,What the heck did you do !
P,"Great ap, but also a batery hoger!"
N,"Would give 4 even 5 stars, but app uses at least 8% of my batery."
N,Way too much.
N,Awful new ap!
R,I want the old one.
E,"I liked the previous version a lot more, why do you guys always change things when they actually work great!"
N,"This one is always running in the background, only today it drained 30% of my batery without opening it even a second!"
R,Please solve this problem or bring the old one back.
N,Will reinstall when I see that you have improved the batery drainage.
N,Samsung Galaxy S4.
P,Great aps on the go
P,Great Ap.
E,"Nice redesign, glad I finally have Tablet suport too."
N,Keep it up
R,Love ESPN but app needs serious work.
E,"As far as content, ESPN is my favorite sports news outlet, because some of the writers are great."
E,But this app is prety crapy.
B,It crashes a lot and the overall experience is not smooth at all.
N,Try the CBS sports app and you get the feel of what a smooth sports app can be.
N,Step it up ESPN!
N,You are the app I want to be able to go to at an instant!
P,Terible.
P,It is honestly the worst app I USED to have on my phone.
N,I had to delete it.
N,"It would always turn off or have multiple errors, it was faster to go through the espn mobile site for scores."
N,Loading.
B,"Has potential to be a great ap, fix the dysfunctional alerts, refresh problems and wait time on loading"
P,Great.
N,Gives all sports thanks
P,Love it.
N,Espn everywhere
E,This update was suposed to speed the app up.but it is slower than ever.
B,Your app won't even open pleader fix.
E,Slow.
E,The slowest app that I have on my phone.
N,Takes a few minutes just to clear the games that were seen the last time I was on the app.
N,Then takes a few to decide what today is.
N,Then it shows me the games.
N,Only to bring up a commercial as I click on the sporting event I've waited to read.
E,Geting Beter.
N,Ap has goten better with tis last update.
E,"It is faster, hasn't crashed yet, so I'll see how it goes before I rate 5stars."
R,Still lacks da option to refresh manually so please update tht feature.
N,Notifications.
N,"I set a notification for tip off, and it goes off 15 minutes after tip off."
B,Won't open
E,Now this is geting better
N,Broken.
B,Keep geting notifications that the app crash even when not using.
N,drains my batery in the background somehow.
N,This app should be banned until fixed.
N,Power hungry.
N,Eats way too much batery power even when not using the app.
B,Never updates news or scores anymore.
N,worst sports app I've downloaded
N,Ap to SDcard.
R,Please ad the ability to be able to move the Ap to the SDcard.
N,Thank you.
N,Horible.
E,News section showing up blank since update.
E,Bleacher Report Team Stream makes this app look and feel very minor league-ish.
N,Sad all that capitol y'all have to toss around that this crap is the best y'all can do.
N,Keep changing the name because until you guys do a major overhaul on this app I won't be touching it with a 10 foot tablet.
P,Poor.
N,ap runs by itself and kills your batery
N,Ad NASCAR to favorites.
R,"I really like this ap, but wish I could ad NASCAR to my favorites list to get notifications sent to me."
P,Best sports app but needs name changed.
E,The app is much faster it use to take a few minutes just to load now it only takes a few seconds to load anything in the app and it's just as fast on cellular data as it is on wifi.
N,Also to those who complain about the ads if rooted use AdFree or Adaway if not rooted use AdBlock Plus they are all free and all stop ads.
E,I give this app 4 stars tho because the name of the app is still weak please change the name to something like ESPN Sports then I'll give 5 stars.
P,Best.
N,Please get it espn will tell you anything
N,Widget.
E,Widget doesn't load properly.
E,Waiting icon keeps spinning.
N,Edit: been a few months and this still hapens quite often.
N,Batery.
N,The app works find but ever since the update it is just killing my batery so I had to delete it.
B,Please try and fix this
N,Wasted.
N,"You will have  to  install  another  aps to watch  live matches , ,,and that will cost $150 to watch live"
N,Batery!
N,It seems you improve speed and responsiveness at the cost of batery life.
N,What was once 1-2% of batery now is 15-30% on my Samsung Galaxy S4.
B,Please fix!
N,I was patient.
N,Once again.
R,THE GLORY'S BACK!
N,Thanks for giving us a top notch score center again ESPN ??!
R,I wish that Boston College hockey was on this app now!
E,It is not a fan--Gamecast is useless.
N,"This used to be better, but then they started pimping social media content and it was all downhill from there."
N,Was trying last night to follow the UNC-VA ACC tournament semifinal using gamecast and every time I came back to it after turning off my screen it showed me a score from 5 iminutes previously.
E,"Then the silly, useless  litle animations kept showing the same sequence of shots over and over and over again without the score updating at all."
N,A frustrating waste of time.
P,Awful app.
N,HTC ONE M7.
N,Latest android.
E,An navigation activities completely disrupts podcast playback
E,Sloow.
B,Takes forever to load scores.
N,Literally.
N,forever
B,Eror message.
E,This app update is better than the last several.
E,It has goten much faster for me and no longer loads a blank screen when I check an update.
N,No really diging the white alerts/favorites page.
E,prefers the old version with the favorite teams showing curent/last/next game/score.
E,Prefered the ability to list which sports as my curent top three.
B,Fix these areas and I'll be up to a five star.
N,Batery issues must be device issues because I am on espn app a lot and I haven't seen more than 2-3% usage.
N,GalaxyS5
N,Finally usable!
E,Upgrading previous review .4 stars now that it loads and refreshes much quicker.
N,Finally usable!
N,Now a good solid sports app with most of the scores and news I want to see.
E,Previous versions were horible.
N,About time ESPN .
N,welcome to the 21st century .
N,now don't mess it up again!
N,Espn latest update.
R,It need more of the basic stats on players profile w/out having to goto too many pages
N,Hate the New Ap.
E,Absolutely terible.
E,Was bad before and the new update has made it even worse.
N,Didn't even think that was possible.
B,"It is still slow, crashes constantly,  and loses all my favorite teams information every time I open the app."
N,Umm.
R,Could be better
N,Batery killer.
N,"After the recent update, this is the #1 batery usage on my S4."
N,My phone was down to 30% by 3 in the afternoon.
N,ESPN was at 40% of the batery used and I hadn't even opened it that day.
B,It doesn't work.
N,I have an LG G3 on great WiFi and scores won't load half the time.
P,Awesome.
P,I love this ap
E,This app is not functional at all.
N,You get an alert and it takes you to the now tab instead of the story that it alerted you about.
N,You should also have the ability to select which tab it sends you to instead of it immediately going to now some people may prefer the news app.
E,The now is full of tweets.
N,I'm shocked ESPN put there name of this.
R,I wish they would go back to the text alerts that was much better than the app.
R,They should take a page from the NFL mobile app.
N,"Wow finally the updates of all updates, never had problem with interface, but awesome now."
N,no lag for 1st time ever .
N,ty espn .
E,not sure about white color on widget.
N,"but I'm more than hapy, and it was my droid, because I said on iphone never had a problem."
E,"speed and efficiency incredible, now on droid ."
N,"just incredible, you've done it espn ."
N,pat your tech geeks on BACK.yess
N,Batery hog.
N,"After recent update, this app kills my batery."
P,Was great before that.
P,Love it.
N,Sports is my life
P,Excellent app.
N,Use this to keep up with all the scores.
N,Even while I'm at work.
N,New phone and alerts won't go off even though I checked the setings
P,Wow good job.
P,"After what seemed like every update made it slower, this update is the best I'm so impressed this is awesome thanks!"
E,Too slow.
P,Ap isn't that great.
E,Load times are awful.
N,I miss the scorecenter app.
E,Aps extremely lagy.
N,Espn needs to step up their game(in the android app department).
N,"My personal opinion ""theScore"" is the go-to sports scores etc app."
B,Freeze.
E,"It so slow and freezes all the time, the scores are always about 10 minute behind the actual game."
N,Thank you.
N,I take back all the bad things I said.
N,Killing my batery without using.
N,What's going on with this app all of a suden.
N,My batery is draining so i check and see this app used 15% and I never even opened it.
N,Going to be uninstalling soon.
N,ESPN.
E,Geting better with every update.
E,White widget?
N,Why change something that was great.
E,Now this white widget blinds me every time i look at my phone.
E,My phones entire theme is black.
R,Please go back to black or at least give people an option to choose between colors.
P,I absolutely hate it now!
N,"Whats even worse, now its the worst batery drainer!"
B,Please fix it
N,FINALLY!
P,Awesome!
N,now with the new update.
B,I swear it's been years of laging and app crashing and waiting for it to load.
N,It's about time
N,I never get notifications
N,Batery hog.
N,Runs my batery down.
B,Please fix
E,Your app sucks.
B,Alway crashes and I get a message unfortunately app has stoped.
N,Ap stil sucks
E,It works and looks excellent.
N,You guys picked up your act!
N,Nice ap
N,PLEASE!
R,I will re-rate with 5 stars if we can get the rosters for each team aded in the ap!
N,Latest update?
N,the latest update claimed 'speed speed speed'; it's more like 'crash crash crash'
N,horible.
N,its won't let me register so freaking stupid
E,So much better!
E,It is much faster since the recent update.
N,Notifications.
E,This update sucks none of the article are showing I can't read no news
B,I did love this app but since the newest update it won't even open on my gs5 crashes as soon as I try to open.
B,Please fix!
N,"It is not Lebron, more of an Allen Iverson."
P,Greatest APP Ever!
N,I am rating this app before even using it!
E,Bold Prediction!
N,Draining my batery.
N,I am uninstalling as it is draining my batery.
N,Finally I got it
N,WTF.
N,Won't run on Samsung Galaxy Light.
N,"Installed and it won't start up, what a shame have to uninstall"
E,"Beter, but still slow loading."
N,loading.
E,Much better performance.
E,The latest update makes the previous version look like a snail.
N,"Prior to this latest update, the app was causing problems with MotLauncher, which periodically would freeze all widgets."
N,Thanks for the performance improvement.
E,Much better when it runs.
B,But still freezes
E,Love The Updates.
P,So far it has been a great app.
N,"to have keeping in touch with the sports world, the scores and breaking news."
N,The new update.
E,much better
N,Galaxy S5.
B,"The app will not run, everytime I to open I get an error message and it shuts down!"
N,Why does your app need to collect my SIM card details?
N,"ESPN, my security software gives me a big warning on your app because it unnecessary collects SIM card data from my device."
N,Why do you do that?
N,"You don't need this data to report scores and news to me, so why take the credibility hit?"
R,Please disable this in a future update.
P,Okay I like it but.
B,All of a suden it is showing no games being played today for the Heat or the UCLA vs USC game.
B,Bugs like that make this app frustrating
E,Don't like new menu.
R,Please bring back the at a glance layout for the menu.
N,Scrolling through team logos at the top.
N,I have no idea which sport it is for my college favorites.
N,Espn app.
P,Great
N,"make it offline ,then 5 star"
N,After last update.
N,It doesn't crash anymore.
E,Ap apears to be faster on my Turbo.
N,"However, to check on your favorites you must click their logo."
N,If you have multiple sports from one college it's impossible to know if you're choosing the right sport.
E,It is very inconvenient.
N,So instead of having labels for different favorite teams/sports (which made sense) now I don't know which Texas Longhorn logo is for football or for basketball.
N,And I still haven't been able to ad Longhorn baseball to my favorites.
N,It's like this app is desgined by failed athletes or something.
N,FIX THIS.
R,Good but I would like to customized my favorites sports
R,Can't watch any video on Droid Max.
R,"Will rate back to 5 stars when you give me back my dark widget, not cool, giving us this bright white widget and not having a choice for a darker one now."
N,"I can understand ading a white widget but why take away the Dark one, for us that like our widgets dark."
R,It would also be great to have a choice for a darker UI for the whole ap
N,Thank you ESPN for UPDATE.
E,Finally back to a recent look and much better performance!
N,Please don't change anything!
B,Stops installation after 90%.
E,It is better than it was.
N,It seems as if this app is finally geting somewhere.
N,The only problem is I keep geting notifications for teams I don't follow anymore.
N,Why?
E,Don't like the white widget.
P,Awesome.
N,Up to date scores!
E,Uses too much CPU power.
N,I have an app that lets me know when an app has too much CPU usage and when it is draining my batery.
N,It consistently uses about 40-50% of my CPU power.
B,And is draining my batery extremely fast.
N,"And by the way, this is all hapening while I am NOT using the app."
B,Please fix this!
E,Update Sucks!
E,I'd really like the option to togle between the light and dark backgrounds on the widget.
N,It doesn't show scores.
N,"80% of the time, it shows a blank screen for scores which, in a sports ap, are kind of important."
N,"Reboot, WiFi, 4G - nothing helps"
E,Bad upgrade!
N,RPC:S-3 error.
N,No longer will install update or reinstall.
E,Outstanding update.
N,Finally a good sports app for tablets.
E,Good update.
R,It needs NCAA Hockey!
R,Could you please make it so that I can follow NCAA hockey teams as a favorite team?
N,Thanks!
B,It is not working.
E,Still slow and will not refresh.
N,Nexus 9
B,CPU Hog!
N,Getimg a few notifications a day of ESPN laging my S4 CPU.
N,If it cannot be fixed I'll uninstall and look for another sport score app yo use.
N,just updated!
N,"yeah thats it, the update i been looking for marvalous."
E,Finally this app is fast enough.
N,It is not blazing but best it has ever been
E,First solid version since ScoreCenter.
E,Big improvements here and almost back to the quality level when it was called ScoreCenter.
N,Two requests: 1.
R,Go back to the latest score/next game icon next to each favorite team (or at least differentiate between the MBB and CFB teams!)
N,2
R,Show me game times in my timezone!
N,Thanks.
P,Great app.
E,Awesome  for tablets
P,Love it.
N,It works great.
N,Get immediate updates for my favorite teams.
N,Designed for phones?
P,Great on my Nexus 9
R,Please bring back the black widget
E,"Beter, but CPU hog."
E,"Great new interface, but chews up batey by using CPU time entirely too much"
P,The best.
N,Can't live without it lol!
N,It works prety well.
B,Starting to freeze.
B,The app is starting to freeze up at times.
N,I even had to restart my phone at one point.
E,This new update seems to have a lot of bugs.
E,It is not reliable.
E,Alerts suck.
N,Never in my inbox.
R,Miss the old text option.
R,I don't want to have to scroll to look for an alert that just came in.
R,Most recent on top would be great.
N,It does what it is suposed to do.
R,Notifications filtering could be improved.
E,Breaking news is often redundant and sometimes reports things that are not even relevant.
N,For example right now there's a lot of trades going on in the NFL.
N,It's nice to know about the teams people are interested in but it's hardly breaking news if a player talks to a team nor do I need numerous messages about it in a day.
N,If the player signs a contract yes it makes sense.
N,But if a player muters a team name in his sleep I don't need six alerts a day about it.
N,Ap works well.
E,Five stars with a better widget.
R,It need this one.
P,Goes great with ESPN 3
N,Alerts.
N,I have set my setings to receive alerts for when my teams are playing but I only get when the games starts.
N,After that I don't receive and updates to a scoring play or end of game.
N,New version on S5.
N,Uter rubish.
N,"""Speed speed speed""?"
E,Slower than the old one.
N,No longer can put fave teams in order.
N,No longer can put sports in order you want to see them.
E,Slower.
N,No longer has fave teams in a list with last game &/or next game scores.
E,This update sucks.
