N,niceu.
P,Good ap.
P,Great Aps!
P,Iike it
N,Kakaotalk.
N,Aus
P,Good i love it.
N,Camera problem.
B,"Once I access the camera from kakao, then decided to discard the picture and take a picture again, the second picture won't be able to send."
N,It will redirect me to the chat window and make me do the same process of sending a photo again.
N,I'll rate it higher when you fix this.
N,Thank you.
P,Cool!
E,It is so cool I can text with friends in different countries!
P,Amazing!
N,You should try it!
E,"Kaspersky, Bitdefender, AVG, Avast ?"
N,Tap Tap!
N,"Why the ""tap tap!"""
N,gone?
E,"It very helpful I think so make the ""tap tap!"""
R,"back please,."
N,Lady jogs.
P,Great!
P,I love it
N,Arslan.
P,Love is long
P,Good ap.
E,Very useful.
P,Good.
N,Yes
N,Verification code.
N,"On my new Galaxy Note 3, only app I cannot use is Kakao right now."
B,It says my network is unstable and I have to try later but I can use all the other aps that requires Internet access with no problems at all.
B,"This is frustrating, other than this problem, I love Kakao and I need it fixed to keep in touch with my family back home."
N,I would rate it 4 if I didn't have to have this verification code issue.
P,I just miss tap tap :/ but somehow great ap!
P,the best!
E,"easy to use, quick to learn and doesn't give me any problem!"
P,love this ap
N,TAP TAP where it go?
N,"Where is ""tap-tap"" ?"
N,"since i updated this ap, i can't find either here."
N,"I miss it, because if i  chat with friend there is not signal ""reply soon"" usually they read it but don't reply as  soon as we hope."
R,"Please back my ""tap-tap"" now!"
P,Nice ap.
P,Loved it but a sugestion.
E,"For the notification cover,  since it acts sort of like a lock screen, ad the feature of a password."
E,So when you swipe the cover you have to enter a password to access the phone--sort of like replacing the phone lock screen since the kakao cover looks so much more beautiful than my phobe lock.
P,"Love the ap, used it for four years."
N,"You all never let me down, great job kt devs!"
R,LED color notification and Save friends are gone gone?
E,"i noticed  some other setings are missing, but i couldn't pinpoint what is it."
N,then i figured out the LED color notification and the seting that allows you to save friends.
N,"i used to set yellow light with my kakao notification, now it blinks blue!"
R,"i want my yellow light back and i want to save my friends, i need to reset my phone and don't wanna lose my contacts!"
P,so many great things are gone in this ap.
E,it's been so cool using yet for years but now it's becoming unfriendly!
B,please fix!
N,"Kakao talk""))))!"
P,iLove kakao taLk <33!
P,like.
N,Just ok.
B,I can't upload the profile picture.
R,Please advise.
E,CONFUSEDDDDD.
B,So someone in one of the chats I'm in sent a gif and it actually.moved.
N,so I downloaded the gif from her and tried to send it from mine but it DIDNT move.
N,HOW THE heck do you send gifs guys?
P,gota love it.it's so common in Korea.
P,Very good.
N,Keep me connected with my sweetheart.
R,i hope kakao can provide video call later.
E,"Powerful, useful."
N,Nihe ho ra hia.
N,Kakaotalk.
N,Download
P,Good.
N,Having problems lately.
N,When I'm connected to my mobile data (4G LTE) it lags and glitches.
B,I tried to ad a friend and it kept constantly asking me to ad them even though I had already aded them.
B,Trying to delete recommended friends is impossible because it never finishes loading.
B,Trying to change the notification sound also takes forever.
N,"Lately some of my and my friends texts don't get to me even though they have 3G data, it would say I have to resend the text even though my data signal was good"
P,Good.
N,KakaoTalk.
E,"Of all the similar aps I've tried, Not One!"
N,Comes close to Kakao.
E,The sound quality will blow you away.
E,So so clear.
E,It's smokin fast and so simple all around.
P,The best thing is how much fun it is.
E,So much fun!
N,Thanks Kakao.
N,Thank you all so so much.
P,Excellent.
E,Line ia beter.
N,Kakao is only used for disc for restaurants around here
P,Very good.
E,This app is easy to use.
N,I'm a Korean male in the US.
N,My id is zairo7
R,Please put videocall.
N,thanks.
P,Great app for communication.
R,Can you have more emoticons which are not weird characters?
P,nice
P,Lov3It.
P,ExcellentAp
P,amazing.
P,its a good aps
N,kakao.
N,kakaotalk
E,its very helpful and fun to use i love it so much.
N,keep it up guyz.
P,Excellent very good.
P,The best
P,Like.
N,It's so nice you can call anytime :-)
R,More Theme.
R,I need another theme.
R,Please ad some more
N,WTF?
E,Your account is temporarily suspended ?
N,What did I do ?
N,UNRELIABLE!
E,BETTER USE DIFFERENT APP!
P,GREAT APP!
E,Efficient enough to the users.
P,LOVE IT.
E,"Line may have a lot of stickers and emojis, but kakao has those few that you can use in so many ways."
E,"The sound, the interfaces, the extras, EVERYTHING about kako is so cool."
N,Recommended :)
N,It's Ok.
N,I have had so many problems.
N,Right now I'm hoping to get my account fixed because I moved back to America and they are saying it is connected with someone else's Korean account.
N,Wish me luck.
N,Really.
P,Love it.
P,Cool!
N,ja.
N,m.j                              m j
N,I try f it nice.
P,But i think its good
N,lol.
N,Lol
P,Very nice babie.
P,Yeah it is a serious good job well done.
N,its working
P,Great!
E,It is funandunique.
N,Keep up the good work.
N,Hundal goraya wala.
P,Perfect.
P,Great free chat
R,missing the tap tap feature :(.
N,Voice echo problem.
N,Using this app for quite a few months.
E,Good quality.
B,But there is one problem I am having is that during call my voice echoes/repeats.
N,"This hapens on any network, be it 3g, 2g or wifi."
P,Outstanding.
P,Good keep it up
N,Samsung Galaxy s5.
N,If your friends don't have app you can't use no calling false advertising
N,Not enough.
N,cause without free video call but its fine.
N,ChaiChai29.
N,Updated v4.6.6 now!
N,Hi ladies.Here I am!
N,Grab me baby~ following~ >=) m/ ;3?
N,Why i can't sign in?
N,"--""."
N,Not bad.
P,Great.
N,Everything just works so well.
N,Kakao Talk.
N,Calls&text
N,Nicely!
N,Have had zero issues with this ap.
N,Free calls worldwide.share pics/vids.
E,"uh, yeah.besides no video chat, nicer than skype and the book face and less hassles too"
R,Where is the free calls?
B,I can't get free calls in samsung SHW-M110S @ SOUTH KOREA.hoping soon for free calls.
P,I love.
N,kakaotalk.
N,Love it because i can talk to my friends anytime i want.
R,I just wish that more free imoticons or stickers will be given.
P,Good ap!
P,I love kakao :)
N,Kakao talk free callandtext.
R,Cn you give free stickers or emoji plss?
N,mostly ok.
E,"A lot of times the quality is poor, but you can have a agd quality at least for the first 5 minutes."
N,it was beter when it first started.
P,Good.
P,Kakao Talk is my favourite ap.
P,So i find that this app is so good
N,Oblong.
N,Pink
N,Still im.
N,Just try
N,Kalaotalk.
E,Good communication.
N,Bad.
E,It's so difficult
P,The best!
N,Hi.
N,Can't even use the app since it requires a phone number and the device I want to use it on doesn't have phone capabilities
E,Sexy.
N,Tim
P,This app isn't very good.
P,I like it.
N,Improve.
R,Improve again
N,id: mcalvarez2k8.
N,Lets be friends guys!
N,24f here.
P,Great!
N,A nice messaging app to maintain our communication with our loved ones anywhere around the globe.
P,Bad.
N,aeli.
P,its good
P,awesome.
N,Moneyforlife.
P,I love it
P,The best i love it.
P,Favorit
N,Ok.
N,Ok
N,10/10 would use again - 9/10/14.
P,Nice.
N,I will give it 5 stars!
N,I put one star because what if you don't have a phone number.
N,Kak??o talk.
P,It's good
N,Lame.
N,Needs a verification # phone number why would I donload  a calling app if I had my phone for calling stupid as ever.d3leting to never download again
P,cool.ap.
N,ican.send text easily with katalk
P,Amazing ap.
N,I gota give you my phone number.
N,I'm good on the telemarketing calls
N,Question.
N,Is there a kakao talk in qatar?
P,LOVE IT.
N,Mohdherni8.
P,Good.
P,Good
N,Id: ro1994.
P,Great ap!
N,:)
N,Kamesh.
N,Kamesh
R,Can't seem to call.
N,Have extreme difficulty calling between Samsung phones.
N,Just want to try it my girl told was great I should try.
N,Kakao Talk.
N,CHERRYMOBILE FLARE S3.
N,Ayos na Ayos ok na ok aheheh.
P,Great !
P,my favorite messenger.
E,"animated emoticon, work on pc, and can  send original resolution photo"
N,Taking machime.
P,Loved it.
P,Like
N,hdhj.
P,Excellent.
N,Dave.
P,Amazing
N,Poop.
N,Poop
E,Great text messaging system.
P,like it.
P,its good
E,Best and comfort.
E,Great messenger~.
N,Nice to keep in touch with people for free
P,Cool.
N,Mr bon.
N,Engr
P,Great Ap.
E,Fast at everything.
N,funfunfun.
N,5 star.
N,Great apP to use if you d0nt have any pRepaid load to txt or calL.
P,Love it ?
N,Yea.
N,Yes
P,Like.
P,Like
P,Love.
N,I use it eveyday
P,The best messenger.
E,It's the best massenger ever.You can make group call its beter than viber.THANKS ALOT
P,Not good.
N,Where the seting of the LED nontifications and removing friend?
B,"Please, Fix it!"
P,Nice.
E,Fast and good
N,Move to sd card.
R,Make it available to move on sd card
N,Astig pweding group call.
P,Like
P,Amazing.
P,Marvelous.
P,Such a great aplication!
N,I get to communicate my friends without spending load for it to be sent!
N,Only wifi connection/data though.
N,But it's worth it!
N,:)
P,Love it.
P,I'm love in its.
P,Best one.
N,Yeah.
P,Nice
E,FREE STUFF.
N,Nuff said.
P,Love it.
P,Nice.
N,Chat ap
P,I like Kakao Talk it's very good.
P,Real very nice.
R,I just need one thing!
N,I wanna do video chat with kakao talk`s friend !
N,JKT48 with Kakaotalk.
N,Thankyou kakaotalk
P,I like it.
N,It so has emojis
N,Maganda.
N,Maganda maganda
E,I like the app specially the quality of voice call but I hope you can also ad video calling on the features it would be really great!
E,Notification Cover is beautiful!
N,It makes my phone feel as if I'm running a new UI!
R,I hope this becomes a staple feature for kakao.
B,Cant download and can't install.
N,like any other text ap.
N,The person you text has to have the app too.
N,Batery hog.
E,Tons of wake locks.
N,Ok.
N,Ok
P,the best messaging ap.
E,"I love the notification cover, it only lacks music player suport, and bring some material ui design!"
P,It's ok I guess.
N,but I have to use wifi only.
B,I have a note 3 with 4G lte and it is always telling me unstable network connection.
N,Has a lot of options.
N,Nothing in options to set prefered network.
B,If anyone has any fix for it I'm open for sugestions.
P,Cool.
P,I love this aplication
P,Like.
P,Like
N,I can't talk.
N,I ve problem in calling.
P,Super.
E,"Very fast, like it"
N,Kakao talk.
P,Best ap
P,good.
N,Notification cover.
N,Notification cover page comes up everytime I turn on kakao.
N,Even though I disabled it.
N,It still asks me everytime if I want it back on.
E,ANNOYING
P,Excellent Chating Ap.
P,Love!
P,I love this ap.
E,but slowly
P,Good.
P,Good
N,big bang.
P,i love kakaotalk
P,The best.
N,Eyerus.
P,That's great.
E,Really good quality
N,ok.
P,good it like
P,Good.
P,Great
P,I like this app is a nice ap.
N,You can talk you your friends any time you want how.cool is that.
N,I'll used this app because this app is most used in south korea.
N,Asif.
N,Koo
P,ilike.
P,Love it.
P,Good ap.
P,I like the ap.
N,I am abke to talk with my friends that live in Asia and they sound like they are siting next to me.
N,Keep up the good work.
N,KAMISHAMNIDA!
N,This rules.
P,Awesome
P,Vgood.
N,Kakeo talk.
N,ID : i9am7fd.
P,I love this ap!
N,But i live in Germany and not Korea or in a other country so that means no one of my friends have kakao :D and because of that fact.
N,4 stars hehe but I like to chat for fun so .
N,my id is in the Titel ^.
N,SCAMSandSPAM.
B,Never sent the verification.
N,Wanted my email in top of numberanddata info.
N,Really ?
N,Why so I can have 3rd party out of Country places conact me with spamandviruses !
N,Not to long after my phone shut off on its own.
N,Download at your own risk !
E,Very fund.
E,Stupid.
B,Couldn't make a call or text unless their a member also.
R,The one thing It's missing is the ability to remove people from the chats when needed.
P,very cood app guys !
N,^-^.
P,Good.
P,Very nice.
P,Nice.
P,Good
P,good.
N,Cating
P,Good.
P,Good
E,I like the persona talk theme.
N,fix.
N,can I know why my call not work!
N,"It is apear that call, but I can't hear anythinh!"
B,please fix that
E,Good z. Beter than others trust me
N,Mmm.
N,Okmm
P,i like it!
E,"enjoyed using this, its cute and not too much, has its own identity (well duh korean)"
E,Lebih byk lagi emoticon yg lucu2.
N,Yes.
P,Very Very Great
P,"Been using it for 3 years, still the best app out there."
E,Each update gives beter performance.
P,I love it!
N,Thumbs up.
P,The best chating talking app ever.
N,Thanks
P,Love it.
P,Best.
P,Best
N,ang ganda tlaga into.
N,zakir.
P,Really good.
P,amazing.
N,ayos maganda
N,Kakaotalk.
N,Smarth
N,Nice app :-).
P,Very good ap!i love it^^?
P,It's great.
P,Loved it
E,Boring.
P,Super aps.
E,Easy to use
P,Best messaging app eveer!?
P,I love kakaotalk.
N,This is so fun guyz you need to apload it.
N,Shanni fasihi.
P,Nice.
N,Have a nice trip!
N,Kakaotalk.
N,Hapy
R,It's good but can you ad an option where I can move the app to my SD card?
P,Very nice.
N,I lominh.
N,Shity ap.
P,It's a horible ap
N,Genx62.
P,Great.
P,Good ap.
N,Had it in when I lived in Seoul.
E,It keeps geting beter.
P,Thanks kakao love it.
P,Good but.
N,I have nobody to talk to someone find me APyasuno
N,Wilma18.
N,"I want kakao talk, to connect all my friend for the other country."
E,It's past and easy.
N,"I'm hapy to download,."
N,It stole my dog.
P,Nice.
E,Slow.
E,Slow
P,Nice.
P,best messenger  :) keep it up
P,Awesome.
N,I went to Korea and I had no way to talk to my friends.
N,I I had Skype and they didn't.
N,I found Kako Talk and I installed it and emailed my friends to tell them to get this ap.
P,Love it!
P,It's just great.
E,The cutest notif cover.
E,I like the notification cover.
E,It's so cute.
R,I wish there are more cute picture if can choose from and hope there's as lock too.
P,"Anyway, i like kakaotalk."
N,Although I can get beter reception through other platforms when I call.
E,But the messages itself rin cool.
E,Love the stickers too.
R,Wish there are more cute stickers for free
P,Good.
P,Good aps
N,Mystery grl.
N,Ksa
N,buen??simo.
P,Love it BUT.
B,I can't receive an SMS during I shut down my phone then back again
N,Kaokao talk.
P,I love it
N,Ahyam.
P,Nice
N,Average.
E,I like the promotion feature that joined with some restaurants or shops.
P,Nice :)
P,hate it.
N,Kakao.
N,Call
N,Kakaotalk anytime.
P,It's great to use like it much
N,Wow.
P,Great!
P,This app is so great!
E,I really loves the notification cover !
P,Best for overseas calls!
N,This is what me and my friends are using abroad and I'm not geting any problems with this.
N,Thanks?KAKAO!
N,Thanks for kakao.
N,so i can aLways comunication with my Love.
P,This apLikasi made in my Love ALways in my heart
N,Imran.
P,Is the best
N,hujan.
P,Good.
P,Very good idea
P,excellent.
N,Samannan Dharmalingam.
N,Samannan Dharmalingam
N,Transparent.
R,"Transparent status bar for kitkat please, update the design too"
P,Love it.
P,I love it because of that awesome free call
N,It needs WiFi?
P,Nice ap.
N,Kakao talk.
P,Loved it
P,Great.
P,Love it barely give 5's so yeah.
N,Update.
B,It can't update it says insufficant storage available
P,Ok good.
P,Very nice
N,Download.
N,Download
P,Cool.
P,Awesome.
N,Android version.
P,I love kakaotalk
N,Nim.
N,Student
P,Best.
E,Very easy and comfortable.
N,I hope all of my freinds download this ap.
P,Good.
P,Love it
N,Free Messaging and Calls?
N,BS!
N,Not a single person I know uses this crap app so it is completely useless.
B,Can't message or call anyone with it.
R,"Need a signal to start, bummer."
N,I'm in an area w no signal but found WiFi.
N,"You get a text for the verification code, so no go for me."
N,Download ahead of time.
N,Ok.
P,Super like.
N,Talk.
P,Best eady
N,Causes malfunctions.
N,Every time I exit the app it causes my widgets to shrink.
N,This cannot be corected unless I restart my phone.
N,Aps.
P,Nice
E,Lovin my notification cover!
E,Nice update kakao.
N,thumbs up!
P,I'mstarting to love you even more.
N,keep it up!
P,superb.
N,o woow!
N,Kakaotalk.
N,Hapy
N,(y).
P,Awesome ap!
P,I love this ap.
E,It's very useful and you can contact m th friends from different countries.
E,Great messenger.
N,"Helps organise action in best MMORPG in space, The Infinite Black."
N,KakaoID PapaStrasni
P,Prety Good.
P,Prety GOOD app so far!
P,Great chating ap!
P,Kakaotalk is my favourite chating app now.
N,Because of kakaotalk I found my sisters!
E,"also, everytime this app makes an update, the app becomes more and more useful yet fun!"
N,"And like most of the users said, you could make a lock at the notification cover."
P,So far so great!
P,"Good job, Kakao Corp. ?"
N,?!
N,~~
P,its so nice.
N,:)
P,Good.
N,What a ap
N,Owesom 1number.
P,Love this so much!
P,Love it.
E,I love it because kathniel is the endorser of kakaotalk.
P,and i love the this aplication so much.
N,saya suka.
N,keran blh chat
N,I can not make call kakao to kakao.
N,Solve this problem.
P,Like it.
P,Love this
N,Why.
B,It's really good but for some reason the notification cover isn't showing up.
N,I installed up to latest update.
N,but.
N,i tried on my dad's phone and his shows up.
N,Why?
N,Amizing ap.
P,Cool .
P,Super.
P,Nice.
E,Lots of discount promo and latest news from the plus friend.
N,Keep going!
P,Best Voice calling.
P,ITS the best free Voice calling app in The UNIVERSE !
N,Thanks kakao corp .
N,marvic matignas.
N,dilinger
P,Nice.
P,Very well ap.
N,I've been using this for a year.
P,I like it much and its totally free.
N,Review by.
N,Dj anne
N,Dileepnaik.
P,I like this app very much!
P,I love it!
P,Greath.
P,Love it!
N,A good app since some of the social aps I?â‚¬?m using aren't working.
P,Good.
N,Fix fix fix.
E,It's saying that my service is temporarily suspended the whole day.
B,Please fix now.
P,Nice ap.
P,Good.
E,My mobile slow this ap
P,Alex. Wow i love this app try it
R,Please expand your Profile message space.
N,Kakao talk.
P,Best  I?
N,I like.
P,Love it.
P,It's good
P,It's awesome.
N,Lil mama.
P,great.
P,good
N,Kakao Lab.
E,I love the never passcode/lockscreen 
R,and I would love to he able to ad my own lock to it instead of using the one already made by the phone
N,Numo jowayu.
N,Notification cover?
B,"When I enable the notification cover on my android, the talkback option is off, but there's still voices when I do certain actions."
B,"I'm sure I disabled the talkback option, so please fix!"
E,I love the notification cover very much.
N,Okay messenger.
E,Unfortunately this app is essential if you live in South Korea.
B,It's been an okay messenger but has recently started sometimes delivering messages many hours late.
E,The chat function is much worse than another well known VOIP ap.
E,"The customer service department is rude, arogant and unhelpful."
N,Sad.
B,"I like it, but crashes as soon as I ad a wallpaper."
N,Hmm.
B,I can't find the notification cover in the kakaolab.
E,A good way to spread are convey.
P,I love it.
N,thanks for making kakaotalk.
N,congratulations ^^
P,Great.
P,Alsome ap
N,Katok.
N,Wow
N,Kakao.
P,It's great.
P,Excelente.
N,"Diferentemente do Whatsap, este aplicativo  n?o tem limite de pessoas em grupos."
N,Michelle Pak.
N,KakaoTalk.
P,Loved it
P,Nice.
N,Wowowowoo.
N,Samsung Y
N,Kachra.
P,Amazing.
P,It's perfect!
N,video call.
P,Very good.
N,New update.
E,"I love the new update, "
B,but with the new notification cover i can't ad my own picture because it crashes as soon as i click a picture from my gallery.
R,Also i think it would be cool if i could ad a lock to it so it could be my default lock theme.
N,Gem.
N,Gem
N,What's This ?
E,Their is insufficient space on this device.
B,Please explain why I can't install it!
N,I just want this ap.
R,Any Help?
R,Please  ?
N,I'm beging.
N,Lol.
E,Good option.
N,Thankyou
P,love.
N,Pendapat.
N,Sebaiknya ada popup pasti lebih seru
N,I use it all the time and got my friends and family to use it too.
N,We can always stay in touch with each other wherever we are.
E,It's easy to use and navigate.
P,I love it!
N,nafiz.
N,not call any number
N,Calls.
N,Srilanka
N,Connection indicator.
R,Should have password for the cover.
N,Fun.
E,I've really enjoyed the emoticons however the aps is really good.Keep it up.
N,Kako.
P,i love this app when i see it in kdrama 'the heirs'.
N,The B.E.S.T..
N,Hmmn.
P,Good.
E,Too big
P,Nice.
N,Love it sana kaso hndi q ma download2!
N,Bakit!
P,Great.
P,Excellent Aplication.
P,Love it.
E,Good communication.
P,Ilove it
N,May make item for free.
P,Fantastic.
P,I'm loving it.
P,Love it.
R,But would be beter with an aded lock mechanism.
R,Good but need more improvement.
P,So great this aps.
N,"Boo,wa$te of time!"
B,It always say invalid phone number and I try and try all over again but it doesent work uninstall now
N,Kakaotalk ap.
N,I'm a new man
E,Cutee.
P,Good.
P,Nice
N,Started just.
N,Y.
P,Cool.
P,Never ending love this ap
N,Ok.
N,Ok
N,Higher.
P,Verygood
P,I Loved this apm ?
P,Cool.
E,Useful.
P,Super excellent.
P,Good
N,Sometimes don't work.
N,This app is not good for anytime use.
E,it works beter sometimes and sometimes it seems to be very poor.
E,Prety cool site.
P,Like it.
P,Awesome
P,I love it <3.
N,12?
N,330?
P,It's really nice aps.
N,Skah ga.
P,I love it.
P,I just recently Used this app  and I have to say I love it
P,great!
P,Nice.
N,Hai.
P,Very good
N,Notifications.
B,I installed the new update and now notifications don't work anymore
N,Kakao talk.
P,Amazing ap.i liked it
P,Love it.
N,Hey.
P,Great ap
N,I can't uninstalled it.
N,Duh!
P,Best ap.
N,kakao.
E,it far beter than any ap
P,Good.
N,Downloading late
P,Very cool
P,very nice.
N,theres nothing like it.
P,amazinng
P,Very nice.
P,I loved.
P,I loved kakao talk
P,i love .
N,but .
P,it is a good app but some times tha sound break and disconnecting
P,awesome!
P,Love it.
N,Not bad.okay!
N,Nhoeine.
N,I miss you so mch
P,Good.
P,Good
N,k.k. k
P,Good.
P,Bit nice.
N,wow.
P,i love it so much
P,Wonderful!
P,It's good!
P,Excellent.
N,Kakao talk.
N,Because this is free
P,I like it.
P,Super duper cool
E,Free.
N,Call
P,I love thiz.
E,It's very fun
E,k. It's ok but occupies too much space.
N,iyi denebilecek bir program.
N,bazen sesli iletisim kopuyo ama idare eder.
P,Awesome ap.
N,I have been using other aplications before l came into contact with this one.
E,It's simple betebr.
P,Good work done.
P,Amazing.
P,Love it perfect
N,I like.
P,I'd love using this ap.
N,I can't download this ap.
N,Can't get information from the server?
P,Good.
N,zacky.
N,as
N,Kakaotalk.
P,Loved it!
P,So far the best I have had yet.
N,Does the job!
N,That's all in saying.
N,Why go looking for beter when it's right here!
P,Splendid.
P,Awesome.
E,"Great game, even beter on the note 3"
E,Friendly :-D.
P,Amazing app wid amazing features.
P,Love it
N,Dope.
B,Nice app but Bluetooth doesn't work.
P,Nice.
P,Cool
N,Must Try.
N,Pogi ako eh.
P,I love it all!
N,Especially facebook.
N,Mab get it done.
N,Man get it done
P,it's a good ap.
B,Won't send verification code.
P,Sucks.
N,What the hell?
N,I installed the ap.
N,I tried to make a phone call.
N,What the hell you can shake the phone and it will locate friends nearby!?!
N,That is not what I was looking for.
R,I just wish they could make a free text call ap.
N,That works like a magic jack.
E,"Same principle, Everyone says how this is free."
R,No they're making plenty of money off these aps.
N,If they would just make it work right.
N,Everyone with download it!
N,So I MUST rated awful cannot make a phone call.
P,Good luck.
E,Cute and fun.
N,relaxing my mind!
P,I love.
N,With this.
N,Software.
N,Buena aplicacion!
N,"Me encanta, es facil de usar y las llamadas son excelentes"
P,Very good!
P,Nice Ap.
P,This app peated the whatsap good jop :-)
P,Awesome ap.
N,Oh.
P,I love kakao talk
P,Good.
P,Good
P,Perfect.
P,Nice.
P,Super like.
P,The best
P,Love.
P,Nice.
N,Is it free for abscbn mobile?
B,Unstable network connection eror.
B,"Messages failed to send so I uninstalled and reinstalled, then I can't log on because aparently network connection is unavailable"
P,"Wow , such a good app ."
N,Wow.
P,Good one
P,Frustrating.
B,I can't log in!
B,The app always force closes!
P,Good.
P,Nice
P,Good.
P,Love it.
P,Good
N,Muah.
N,Muah
P,Love it.
P,Love kakaotalk
N,Dont work.
N,Yapandan A.R.O..
N,Ucretsiz konusma ve mesajlasmayi surekli kullaniyoruz arkadaslar ile.
N,Allah razi olsun cok isimizi goruyor.
N,Wooah!
P,Cool ap!
P,Great :)
B,Can't send messages anymore.
N,I tried reinstalling it but I can't even receive the four digits pin.
B,Network eror
P,An awesome communicating ap.
N,kalpana.
N,sadee
P,Very good.
N,I try
P,nice.
R,"so far its working fine, hope you guys would ad more free emoticons"
P,i love it.
N,Ok.
N,Wow.
P,Nice one
P,Sucks.
E,This app is annoying and takes up to much memory
P,good.
P,nice
P,Mr. Good aps
P,Lov It.
N,Galing nitong messanging na ito!
N,Wind runner.
N,I just use this for the Korean wind runner.
N,Lol
N,yes.
P,Apslover.
P,Love it
P,Really good!
P,Love it.
R,"Love it,  but need more budies!"
N,My kakao id is LinnaMarie
P,Very good.
E,Not too shaby!
N,Sms?
P,LOVE KAKAOTALK!
N,Great way to talk with my friends around the world!
