P,Excellent.
N,a must for all medical students and doctors.
N,it is like world of medicine in hand.
N,A great medical companion
P,Great Ap.
N,A huge help with my meds.
P,Best.
N,It is very nice ap
N,Shafiq.
N,Liked very much
R,Could be perfect.
R,Could be perfect if it were possible to store data on SD card instead of internal memory.
P,Apart from that I love it.
N,Doctor Abasi.
E,"Uptodate , relevant and authentic information"
P,Loved this on my tab .
N,Puting the app on my phone was awesome on my tab as far as reference guides go.
N,Being an Emergency RN if I need an answer it's going to be quick and thorough.
N,It does the job!
P,Liked it
N,I don't know how I lived before this app.
N,The only complain I have is that it use to group drugs into classes before the update but now it doesn't I'll apreciate it if this function can be returned
E,Usefull.
E,Hi all its really usefull aplication for medical information
P,excellent Ap form med stu and drs
N,Medscape.
N,This may be exactly what I'm looking for.
P,Great resource ap
P,Ok perfect.
N,Ok
N,best medical guide ever!
N,Medscape.
E,Interactions are not updated as  Found in medscape  through web
E,Informative.
E,It is very useful app.
P,Awsome.
N,8 didn't even use it yet.hahaha
E,Drug Refference Dont Work.
N,Thankyou for medscape app that have been very suportive for me doing my daily routine in the ICU.
N,"I have a major problem since i've used new cell phone Lenovo A328, the drug refference don't work, i can never look up for any drug!"
N,It's almost 3-4 months now.
E,"I've unistalled and re installed again the app ,but still the drug refference doesn't work."
B,Please fix.
N,Thank you.
N,"Ahmad Nabries, MD General State Hospital Persahabatan, Jakarta, Indonesia"
N,Samsung GS5.
P,Excellent!
N,For noobs to experts.
E,Handy app for medicine
P,Amazing app.
N,All the information you need.
N,I connect to the Internet and announce me that there is no connection!
N,It's not free!
E,It is very useful.
N,10 out of 5 starz.
P,It's just amazing.an excellent app.too much information in ths litl app.best4 mdicl studntz like us
N,"Couldn't get some stuff until I go online via my browser, please corect this."
E,Example is d information on Tibolone: a synthetic steroid
P,I love this ap
E,Wonderful app for medicos
N,It is very pleased.
N,It has all that I need for a busy nurse in ICU.
E,It is easy to use.
N,Yog.
E,Good reference
E,It is very useful!
E,One of the best source for keeping up with the ever changing and vast medical information.
E,Extensive and authentic information on the very relevant subjects of Medicine.
N,Thanks a lot to the developers!
P,Awesome.
E,It is easy and reliable
N,Last update ruined it.
E,"Really slow now, takes about 30 seconds for reference search results to come up for data that's offline."
P,Best medical app.
E,"It's totally changed my practice,very informative and whenever you update the app you will be provided with new articles"
N,Dr Bilal
N,Don't trust.
N,Wants to much personal information.
E,Informative and user friendly
E,It is very use full aps .
P,Love it
N,"Marvelous app , thanks a lot !"
N,Medscape.
P,It's great.
N,Oh yes
E,It is very helpful.
N,lve it.
P,i love it.
N,Medics.
E,Totally love it tho some drugs are not included in the refrences
E,Informative.
N,I apreciate to those people's who  made this efforts for mankind.
E,"This app is excellent, informative and up to date."
P,I love this app and those who made efforts.
N,Ap doesn't run.
B,Updated the app but now the app doesn't work.
N,maybe due to my updating to lolipop.was my favorite app kindly solve this problem.will give orginal 5 star rating
E,Apreciable.
P,Liked it
N,Shahzad.
N,Well deed
N,MD Student.
E,It is very useful in my field of study
P,I love this Ap
B,It is not fix.
N,Required all time Internet often I have offline data updated.
P,Good.
E,But too many headings.
E,Many topictures missing
P,Awesome app.
N,It has everything i need.
P,Good ap
N,It helps medical students
N,Clinical officer.
E,Mediscape provides comprehensive note for medical professional.
E,"and by providing the offline services, it is the best for rural medical practitioners."
N,"""What The Hell""."
N,"This APP demanded more info about me than the Dept. of Corections or the F.B.I and it even had the nerve to keep me from checking out there APP until I kick out that info, as if I couldn't live without this APP.no sir, not me, not this time, I will decide if I want to use this APP or not!"
N,Medscape.
E,"Reliable,handy and convenient."
P,It's AWESOME!
N,Lollipop suport.
E,FC's and and the whole UI becomes unresponsive specially upon updating database.
N,any word on compatibility with android 5?
P,Great Ap.
E,It is very detailed in every section.
E,Excellent resource for healthcare workers at any level.
E,Useless.
N,I couldn't get info by symptoms.
N,Info I did get was not useful in a practical way - nothing about how to treat problem or whether I should see a healthcare provider.
N,Nice ap
N,Nice and Impressive aplication!
N,"Great ap, but I want to ask about a missing drug info which is called ""Cinnarizine""."
N,I've been waiting for fix for it since several updates but it is still missing.thanks
N,Fak of
N,Jos?? A..
N,"""240215."
N,"kfr.thanks."""
B,Unable to download reference updates !
R,It need a option to save updates in SD card.
B,geting problems with low internal memory and stick android.
P,Good.
N,Up to date knowledge
E,Useless app to download and register to.
E,"The information given is really nice but the customer suport, registering yourself to medscape and it's user friendliness is absolutely horible"
E,This app is si helpfull
N,4 every medical student
P,Simply excellent
P,Excellent.
N,I don't need any other medical app when I have THE MEDCSAPE.
B,"updates usually freezes the system, last update stops and doesn't proceed"
N,Samsung.
P,It's cool
P,Great Ap.
N,It works well and gets me the info I am looking for with great specifics.
B,Please fix.
N,Already changed my password 2 times.
B,Still wouldn't login (says acct invalid) samsung galaxy grand 2 (kitkat)
N,My Partner.
N,Love this app.can't live without it in my clinic and hospital
N,Medscape.
P,It's the best
B,Cant download reference updare for offline access in new update
E,Nice dictionary
P,Loved it
P,Great.
N,Highly recommended medical aplication.
E,Zooming option for tab is not there.
E,Font size small and difficult to read.
B,Please fix it.
P,Otherwise great.
N,For pharmacist.
E,Good <3 very imp for all and usefull ap
E,It's too much helpful.
P,lov it yr
R,Please ad option to move app data to external sd card.
E,It consumes a lot of internal space
P,Great Ap.
N,"I have been a nurse > 20 years, and have used this app 2-5 times weekly for last 7 years."
E,It is very helpful and handy.
N,Well done!
N,Highly recommend for clinical nurses.
P,The best app for me.
N,I spend my time on this app.
N,Will not allow me to register; just pops back to opening page.
P,Marvelous.
E,It is very helpful
N,Root users problem.
B,Internet can not be detected solution.
N,"Delete any ""medscape"" entries in your adblocker hosts file"
P,Best ap
P,Best app for nurses.
N,"As a nurse, this one the the best resources."
N,It also helps in giving a patient information in easy to understand layman's terms.
N,Keep it up.
P,Love it
N,A must have app.
P,One of the most awesome app for health care providers.
E,It is very concise info on all aspects of Medicine
P,Like it
N,Sharp.
N,Since den tyms all
N,Why.
N,"Why are the so many butons for every pie of info when you look up a drug, just title and list it going down the page in the same order every time"
N,Can't download clinical reference.
B,"It says after sometimes, download failed."
N,Help me.
B,Bugy.
B,Keeps locking up at the legal notice screen.
N,Tried several times and gave up.
P,Love you medscape
N,Ask for information.
N,Why is there a lot of needing information from us .
N,or me just to make a account ???? y can't this be like fb ?
N,"only need a name,email,phone and password ?? i can look this up"
E,This is a very helpful app.
P,I like it so much.
P,Great app.
N,Really helps in med school.
R,Lack of performance.
N,It made my phone lagy and bugy so i uninstalled it.
E,"i hope you fix this and improve the performance, It's so slow and i think it can be improved by suporting android lollipop and ART (the new android runtime ) also it would be great if you suport material design rather than this poor UI."
E,It is very Useful for medical students and doctors
N,A must have
N,Problems.
B,Stops responding when I press the search icon.
N,Hapening for last 2 months.
R,Please help
P,One among the best medical aps
N,Nice app for medical professional
N,Medscape mob app.
P,Excellent!
N,It simply makes a Clinician's work super easy.
N,"If you want to stay apraised of what's going on in Healthcare and have access to excellent references, this app is for you!"
N,Five star app.
E,One of the most useful app for me.
E,A perfect pocket reference!
N,I have been searching for a pocket reference that will A) work offline B) Let's me save meds to a list and C) Actually has the medications that I see in clinic!
N,"This will save myself and my patients (and of course the docs') time when trying to update charts, ask patients questions about their meds, etc."
N,Call it lack of sleep if you want but I am so excited to have found this!
N,Thank you!
E,It is very helpful aplication for a doctor in  clinic? so one can check drug safety in pregnancy etc.It is very helpful aplication for a doctor in a clinic so one can check drug safety in pregnancy etc
E,Easily Accessible.
P,Superb
N,Nice apk.
N,5 stars
P,Perfect.
N,All pharmacist must be having
N,Roby.
E,Great Ap.rlly helpfuL
N,Awsum.
B,Loved it but only problem I am facing is internet connectivity
N,"If I could give it a million stars, I would."
P,Love it.
P,It's the best app ever.
R,Good but offline mode needs work for developing countries.
N,I live in a developing country and I was in for a rude shock when this app began demanding for an internet connection when I was deep in the villages for an outreach medical camp yet I had downloaded all data for offline use.
N,So sad
N,Drug interaction checker
N,i csn't acces when i am offline
P,Great aps!
E,It is very useful
P,Awesome.
P,It's simply awesome
N,Medscape android thumbs up.
P,Excellent format of old favorite site
N,A must for any medical student.
P,The best medical app ever.
N,It helps a lot specially that it's writen by medical professionals like a great textbook.
N,It is not able to complete data updates after the recent updates.
N,Also it hangs a lot after recent update.
P,Great.
N,and a plea.
N,"I have changed to android from iPhone, I wish that your app - like so many others - were created equally."
N,I hope that is in the works; as it stands it is still great.
R,I would like to see medscape pulse on android too
N,Download medscape.
P,One word: AWESOME
P,Great ap
E,It is better than most others
P,Good app.
N,"When I need an authentic reference on move, I use medscape."
N,Medscape.
E,Beter for pharmacists and other health care takers
P,Awesome!
R,Beter if has more options for front size and more database for more and more rare diseases :) Love it!
P,This is AMAZING!
N,"Wow, this is the most amazing wealth of knowledge ever contained in one aplication."
E,"I am speechless over the sheer volume of ""Free"" info."
N,Provided.
N,Thank you for a tremendous effort developers!
N,How anyone can rate less than 5 stars is beyond me.
E,Useful.
E,I find it very useful this ap
N,Medscape.
N,Medical Dictionary
P,V good aplication
B,It needs fixing!
P,"Medscape is the best app I've downloaded so far,  but this newer version crashes while offline!"
N,"I don't have Internet in my phone, so this feature is really important for me,  I really hope it is fixed soon!"
N,Stay up to date with what's up in the medical world
P,Best medical app ever
N,Victor Rios.
P,It's amazing.
N,In my galaxy Note 4;  it works ok.
P,Perfect!
N,The best ever medical app :) more than epocrates and all others you dserve all stars.
N,Thanks for such an ap
P,Excellent job.
E,It is very useful
P,Great app for clinicals
P,Love this app.
E,It's very helping and useful.
P,Great
P,It is very good ap
E,It is very useful
N,Medical student.
E,It's helpful to me for reference
N,Euphoria.
E,This app is absolutely informative!
N,Thank you for sharing this app.
N,You have no idea how great full i am.
N,Important for doctors
E,It's very useful
P,Superb one.
N,I didn't find better app than this one for medical students.
N,Ad blocker app.
N,I have installed a custom with ad blocker pre installed on as a system app so i can't log in
E,Useful tool for all med students.
E,Great innovation.
N,Medical student.
P,Just an awesome app.
N,Real treasure.
E,Lot of information And very useful
R,It need to improve search function.
N,Won't recognise my email adress anymore.
N,Uninstalled as refuses to accept my email adress
N,Great assist with you during postings and clinical management of patients.
E,Medscape is very informative specifically about latest guidelines
N,Medscape.
N,Medical research web
R,Could be better.
N,I use this app a lot as the drug handbook does tons although I find some common medications as well as new one ate hard to find.
R,Please update the drug references oh and ad material design!
P,Lov it
N,Samsung S3 and Note 4.
E,It is very useful for quick checks during clinical practice.
P,"Excellent indeed, I loved it too much.Thanks a lot."
P,Great ap
P,So good .
E,Excellent medical reference guide.
N,Thank you.
E,Wonderful app with the most required information in the best format.
N,Ok.
E,You are perfect and more sufficient
E,Really Helpfull.
N,I can get every bit of info I want so thats why i rated it 5
P,Superb.
P,A perfect medical ap
N,It work good.
E,It very helpfully
N,Medscape.
N,As good as epocrates without the $150 annual fee!
B,I can not open it.
N,I only can open for the first time.
B,I can not open it later.
P,very giod
E,Useful app.
R,but can't play videos
N,Medscape.
B,It won't download
P,Good.
N,Nice aps about medical field wrks
E,Really interesting.
N,I am an average person who wants to know what and why.
N,Dr KumarBabu
N,Never works anymore.
B,It can never connect to the server.
N,It used to work great.
E,The e-mails are great though.
E,really good quizes and information in those.
E,Useful app and userfriendly.
E,It is very useful for medical professionals
N,Utility in normal practice.
P,It's really awesome.
E,handy reference.
E,made it a whole lot easier to access quick and timely information even without internet connection
N,Md..
N,General practitioner
N,This is an amazing app for medical purposes.
R,"One thing though, i wish there is an option to change the font size like in ios, apart from that this is amazing :-)"
N,Mother.
E,It seems to be helpful for now.
E,Useful.
R,It needs option to update to SD Card.
P,The best free medical reference app.
E,It is better than some paid.
N,Honestly can't imagine what I'd do without this app.
E,The only way to access its functions offline is to allow it to update and download data.
N,"However, downloads lots of data into the phone memory and not into the SD card which is problematic if you have a non-rooted android like mine."
N,It also updates too constantly without permission.
R,Also needs to be able to search the content and not just the titles.
N,"All in all, wouldn't trade it for the world."
B,Stuck on update.
N,Updating 1 of 4.
N,now just stuck like that.
N,Connection us fine.
B,Please fix.
N,It need this immediately.
P,I. Love it
N,Scince.
N,Nice program
P,The app i love the most.
P,Grate work.5 star
P,Awesome ap:).
E,Love this medical app very useful information :)
N,Thanks for this great information
P,Good stuff
N,Medscape.
N,Meds I couldn't find anything I looked up
E,It is very useful aplication.
N,Thanx
B,It doesn't work when you're offline.
N,"Medscape used to work even when not connected to the Internet, but now even when you update it, it still won't run offline."
N,"I used to love this ap, but now I'm looking for alternatives"
P,Good all in one app.
E,It is very good and authentic content.
N,Even with references and can be quoted as references.
N,Doc.
P,Great app for pharmacists!
P,Just love it!
E,It's very useful.
N,kudos to the team!
P,Excellent for nurses
N,Basic.
N,I think it very basic.
N,I don't find much information in it
P,Medscape is good aps
B,Unable to open.
B,After download wen i clicked on new user it immediately gets crashed and returns to main window.
B,please fix it.
N,i tried many times including uninstalling and reinstalling the app .
E,but the result is same
P,It is very good.
E,Too easy and efficient app to miss.
R,I hope in new updates it will load faster.
N,Medical student.
P,Excellent
P,Best Free med app out there.
P,Simply the best.
E,Loads Beter than skyscape!
N,A medical MUST
N,Full of knowledge
E,This is very useful app for medical student nurses and health professional .
N,it contain almost everything related to disease and drugs
E,It is very informative app.
E,Intuitive to use.
P,Nice and I love it.
N,Sgt membantu
N,At last.
N,Good to have it on the move with offline service!
N,Veery nice aplication.
E,It is absolutely free and offline
E,This stuff is useful.
N,Very
E,It is very informative.
P,One  of the best ap
P,I love it
N,Dissapointed.
N,When I had an iPhone this app worked great but now on my galaxy note 3 I can't get updated news.
N,It has been stuck for about 6 months and reinstalling has not helped.
B,Please fix this!
P,Love medscape.
E,Awesome service.
E,It is very useful articles.
R,The search function could be improved.
N,It focuses on the title of the article rather than the topic.
N,"For example ""dental block"" will not find the article for ""oral nerve block"""
N,Great app for medical professionals
N,Madiha Sheikh
E,Sharing Information is Great Service.
E,Highly informative with rock solid evidence and Unparallele compared with curently available medinfo resources.
N,Medi help
N,3star.
P,Good ap
P,It is good
P,Perfect.
N,A must have for all drs
P,Excellent.
N,This great app has everything that you need for your daytoday practice
P,I Like it !
E,Helpful.
P,Awesome.
E,Well organized and very informative.
N,This can get better.
R,View all option in reference as is in website should also be there in app.
R,Search should be enhanced by ading synonyms and eponyms.
N,Physician's self tutor.
N,I've been using Medscape for several years and I've found it as a very useful and a must have tool for every doctor.
N,Thanks to all members of Medscape to keep it up to date.
N,Dr..
N,made for Dr.
N,It is very nice.
E,Helpful
E,The best useful app ever.
P,The best medical ap
E,Good informative
E,Great reference.
E,It is very much useful and handy reference when you need it quickly as possible
E,A very very useful app.
N,Provides just everything that you must know at the rounds
P,Loved it so much
P,Best medical app.
E,So helpful
N,Can't do without it.
N,"More than just a quick reference, this app has made my general medical studies a lot easier."
N,And even better is the fact that I have it everywhere I go!
P,It's perfect!
N,Raju N Zala.
E,This is the perfect dictionary
P,Great ap
N,Street Paramedic.
E,This app is wonderfull on the fly for quick reference info.
E,Great medication database and pill identifier.
E,The calculators are a nice touch.
N,"Also, when I run into something I've not encountered before Medscape is a great resource for research."
N,All of it right at the touch of a couple butons on my phone.
N,Best medical app with recent updated knowledge.
P,Wao it's awesome
P,The best.
N,Free useful app must have doctors
P,The Best Medical Ap!
P,This is the best medical on Google Play Store; and it's free!
N,"Chai, just imagine!"
P,Awesome!
N,It has all the medical info I need on the go!
P,It's just great
P,I love this.
E,Quite helpful
P,Good.
E,"Good for,fast information"
E,"Like it so much, so helpful"
B,Log in does not work!
P,Perfect but ads?!
E,Amazing ready reckoner on rounds but the experience is ruined by intrusive annoying ads on the disease page!
N,You're spoiling a good app by placing annoying ads.
N,You want to make money?
N,Make a premium version and we will pay for it.
N,Don't ruin something as good as this for a quick buck!
N,Disapointed!
P,Good app requires more development.
B,Frequently freezes and reports internal errors.
N,I had to reinstall it twice already.
E,Access to online content make literally take forever.
N,Following email link doesn't offer to use an app and automatically goes to a browser.
N,It's helping a lot.
N,Thank you.
R,in spanish please.
E,It is very useful
E,Excellent  and reliable
P,Good.
N,It's been more than a year now.
N,Still using.
N,Thank you!
N,Illnesses.
N,Don't give information on all illnesses
N,Nice ap
N,From all the installs.
P,This is the best free app so far.
R,It needs improvements!
N,"I was very annoyed with the fact that it was being updated and a lot of data was comsumed, then sudenly it stucked and after resuming it began to download from the beginning!"
N,Hapened two or three times.
N,Btw why do I need to download all the datas while updating?
E,It is very useful.
R,Please ad option to save images to phone memory.
N,It is very nice.
N,"I'm a med student and having this helps me get info quickly on things that would otherwise require my books to be present there, its a good app."
P,Like it.
P,Excellent app.
N,Specially for drugs.
R,wonder if you could ad general medical terminologies too as a medical dictionary.
N,then it would have been a 5 star app.
N,kekurangan: 1.
N,bahasa ingris.
N,2
N,harus online.
N,3
N,fasilitas search kurang cangih :D
P,It is very excellent
E,Useful app.
E,Especially useful for drug information and interaction
E,So much information.
N,Well done!
N,I am nit sleeping reading reading!
P,I would like it.
N,It help me a lot of in my work.
P,Loved It.
N,Even i don't know there is a app for who are in medical field    Hapy To Have A Such A great ap
E,Great reference
N,Every doc needs this.
N,This is the go to manual for medicine if you don't want to pay for up to date
E,"Content great, delivery improvement needed."
E,I love this app and the information it contains.
E,I was upset with the update that left the list of medications in an a-z format instead of categorized.
E,I also enjoy reading the news but it hardly every displays new articles.
N,Medscape.
N,My lifeline in the clinic
P,Great!
P,"Excellent ap, use it everyday!"
P,Just amazing.thanku
P,Best source of info
P,Fantastic (and free!)
E,It is very comprehensive but also not boged down in detail.
E,Up to date was great but very expensive.
P,Seems every bit as good.
E,Much better than Google searches.
N,A must have for every level.
E,It is very helpful app.
P,Good job
P,Love it.
P,It's awesome espclly on Iphone  pad
E,Excellent reference.
E,Great clinical knowledge base app.
E,Right information source for clinical thinking process.
N,I do not care about app design (nothing can be perfect).
N,"I care about information delivery and, most importantly, Medscape delivers clinical information for free."
N,Thank you for giving this app free!
N,Live it
P,Best but.
E,I like medscape since it was Called e medicine but the app font size is too Small.
N,It hurts while reading.
R,Anyway to increase the font size please?
N,Junk app don't waste your time downloading it .
E,Easier to do a Google  search
N,ap.
N,it just right
E,It is very informative.
N,no other app you ll find
N,Updated regularly.
E,It is very informative.
N,My best guide during the busy work.
B,Always freeze.
E,"Luckily i still got my lexicomp ap, though i like this UI more."
N,Cub TX gj.
N,Hv oh c oh BBK oh b
N,Medscap.
N,A good one for physicians world wide
E,Really helpful.
N,Unparalleled- BUT.
N,kindly give us a choice to move > 400 mb data it downloads to ext.
N,Sd card.
N,Coz keeping internal memory free is usually on our minds.
E,"Best app ever, very helpful"
E,Handy guide
N,Vary  vary good  aps  for  medical  doctor.
P,It is very good.
N,2nd year resident.
E,This app proved to be very useful on night shifts and for quick information in general
E,"Updated,Extremely dependable and concise"
E,It is very helpful!
P,Excellent app.
